Young's_modulus(GPa),Strain_ratio
16.91975268345456,2.0939434038602767
10.839166757602632,2.429836691874787
12.780716903415287,1.0003451136253303
14.082937656436531,2.8969733724163405
13.699374410187845,3.001255569789362
12.757496224978901,1.857820718597574
10.75789568570506,1.0003451136253303
13.896916913508807,1.1852227656359244
9.060414722336647,1.1766339734987192
9.164991794921114,4.401373839089096
9.339486869566265,4.5836267092801695
10.327634464517184,2.3162957375392037
9.595250410849433,3.4039115409348604
6.944454172814459,1.7913922800027784
7.397849447558433,1.8713815876999074
8.409302391881356,2.0852421846916913
10.664756353893099,2.203458440743435
7.142083301015709,2.360076753263215
12.8621573171841,2.589038896075351
16.454661747241886,3.2212898378358203
13.373689610269546,4.5032754297285695
30.127044365783803,4.200066461474576
31.568841899600443,4.213181064457076
33.02208173339382,2.0896125023690293
22.256178782438646,4.34222545518934
31.324775973730645,1.0003451136253303
18.896136452181356,1.0003451136253303
24.627905478503557,1.0003451136253303
25.534780698927126,1.0003451136253303
16.908143646866147,1.0003451136253303
20.60539644532431,3.6534921375588425
21.674217205104345,1.3802831753127653
17.15246879606192,3.7380794754383837
18.40799548203331,3.271961337058715
24.104676872634517,3.161508045908039
19.44266780216284,3.38979451174737
22.872288799423448,3.248202393545027
17.175606106192465,1.750842802512899
24.593073158219198,1.0003451136253303
22.895509477859836,1.736335614040771
21.95388791071731,1.0003451136253303
26.162585726065743,1.0003451136253303
18.628844637356057,1.0003451136253303
17.10159068216265,6.447659590722219
15.83855433551664,5.070319459618045
18.896136452181356,3.428837796552465
22.593473921575136,2.657270865859994
23.68636858229665,2.752967186774783
15.687363307613715,1.5976646991013945
17.733661821826747,6.038812641176285
15.164221977939853,5.786566000113554
24.55824214056462,7.849056846931705
22.19812838897746,4.689752232656548
23.47695651643152,5.22565528930796
23.465348782472887,4.306246506664383
19.07062892156695,4.003744933372591
20.07047413193124,3.30272701385363
23.488652829215113,10.558301897375436
3.177541292991807,5.2584149795264405
19.547500841498838,3.8726389247468753
17.896291241817067,4.378534103602987
14.943288151681486,3.1879456764969696
14.803794739191932,2.6270144381063116
14.885235152960744,3.045323579197079
14.83871042778213,3.800771390353218
15.873470024106838,3.2584166138653368
7.7117526124426306,2.2520985965312685
3.270508026358081,4.020482071628036
4.526202100256045,1.1852227656359244
5.991051621952721,5.080942444528127
7.492523928564676,3.491804526414729
7.607175539858163,5.847138016006094
6.119020017474592,3.48271966155774
4.909851320070131,3.125582738976953
6.095628694537187,6.367914779090403
4.735442870305267,3.083578506037477
10.618230326084708,3.132082684587616
9.43253892518305,5.661590128362199
7.79319498015611,9.232281298253627
10.316107493604832,9.004495148372056
9.63008273113379,7.537016703865957
8.862784291505617,6.891923273755761
25.44172994594012,1.215185581232221
22.23304538019744,1.5926564692865934
22.0353296271159,1.2668203462223409
25.314017517169777,2.212670487791314
29.40635792752942,1.0003451136253303
29.824921533303925,1.1345447961157453
26.848525817601164,1.0003451136253303
22.60491231366253,1.0352785025881956
22.058719647423526,1.4932036904058439
27.16242963380025,1.9610905039843491
25.628516635177764,6.293386435867935
22.023633314332308,2.3872587476757503
25.9998716351398,4.694626913132548
30.778325386795444,2.240429962642757
26.60445598384203,1.3069895212469407
27.208869688043244,2.468058483219963
10.148870672086996,4.50155389894164
11.257817639572314,2.9060397641827915
15.152612941351439,3.970634915296488
11.129847290105776,5.2584149795264405
13.362165244616753,2.6462707363901705
11.001880848528572,3.21128932839102
13.307615017371127,3.4590932651435633
6.398006842453702,5.4420851942578405
8.409302391881356,2.70749896633505
14.117767371461332,3.2958717810171434
12.71105486810613,4.200066461474576
11.618246180950015,4.650893735806298
9.618558365480995,3.880726825651441
