Fitted_value,Residual_of_yield_stress
157.91074615953428,1.3668057232250646
204.00815306373966,1.2711650510866175
179.82840104928871,1.1197422215237647
179.5660193353949,0.24310253278186922
169.07003632977577,2.3815656006457555
168.53842609075656,2.1663952206451365
149.94123649838593,1.4332230881509047
168.40672916515342,2.208918192359985
183.01818155838185,0.6043924252273358
217.8255837353106,0.5379750603014957
202.28064305251087,0.5512568665128472
180.62831698235428,1.6669833536917849
158.1761047478766,-0.5910522819324102
154.3239994427291,-0.44493336476392553
166.54648032226453,-0.5219633166894067
191.38763430169075,-0.8274460501032213
112.47762878851927,-1.3162274717660418
161.3658257194808,0.2032511613841841
156.30222182001341,-0.31293678403135416
184.61405418149647,0.6999902374676465
143.29735879791428,0.9204877456407909
155.9188599285312,-0.7079324147028503
107.03066299756968,-0.9656073128510645
99.7244605010437,-1.5632909734673417
140.24317491995185,-0.08629602379200563
131.07577098071343,0.1528098234886528
129.48284546330288,-1.1329514040188302
139.17995444191345,-0.9709528945908428
132.13905099624083,-0.556489345743655
147.6820864793935,-1.2710721879739886
104.90606770365096,-1.4968938479378435
94.94172470579551,-1.2046738718917647
137.32071773633703,-1.4171911051424733
106.63265488380068,-1.6244044259988142
299.9234050204392,1.0639553018884547
307.3652041480959,0.9152005009845872
282.9182181144001,0.3015420038907264
196.30394245344465,0.3360882723413172
191.65489808968013,-0.9177780476363955
164.02107865259518,1.2791453260090528
149.27596459662755,0.7531448450257514
180.76096650778095,1.7812287932795678
159.239325225915,-0.19786986306262566
145.8228497738171,2.0893658639960186
153.12708753320703,0.413095603765004
245.85547631777303,-0.10490436289951965
185.13979997785205,1.0498520142961572
200.42238871550248,1.4146147490433907
201.3529596681142,0.17403023527702954
207.46326239243064,0.5725010893557441
219.95110186030837,-1.459695028013706
184.61405418149647,-0.40506175396989796
201.61828848771205,1.0187988275436752
211.71334604260264,-0.9656073128510645
224.99812456909743,3.064295799968093
197.50085436296672,1.5447790691306347
211.18268840340698,0.6468963480985681
192.58353407390032,1.5926059532398513
221.54405714646342,-1.1541908646508228
201.08569588012483,1.7466837153817032
215.5673863161417,3.4548066185207142
197.50085436296672,1.550084172077729
202.14891635816323,2.6684602343483985
200.55304373504865,0.11559076416817282
232.43804826585156,-0.12879994666323835
212.9092755835567,-1.000133341905313
240.80842384023947,-0.2615953882749604
216.36140803779915,-0.7079324147028503
238.33470071099669,-1.0750560155057585
231.10946919947082,-0.9044962414250444
202.67957399735891,-1.0506139680408024
189.6610768902855,-0.9709528945908428
213.30823629714922,-1.3188990720832052
234.03287898290915,-1.026680286589852
215.96539442991067,-1.7492422131898957
231.2411363563295,-3.157185104756734
183.15184322112106,-1.9591092760725095
221.27774595829757,-1.5686175063635046
243.82748059970922,-1.9785164760591751
226.32771577279064,-1.053268900619802
255.68523482181024,-1.7280003714524508
