Yield_stress(MPa),Bending_strength(GPa)
152.91709192349649,257.8092817871625
148.86554104650614,255.71675143402075
155.57471330235117,302.0890554273727
130.73176126358175,247.5806033959326
155.57471330235117,254.67053834413164
150.6593967780553,291.28088665818996
161.8181707226134,271.52328840187346
123.22708275625665,213.06453033885512
155.57471330235117,283.14473862010175
149.3308242374141,268.03631944791687
125.41845346475971,210.39076470392143
136.84399870268447,241.53771492453086
137.3746388510869,273.4988841544575
131.72868185093404,255.9497351615461
141.29401715177326,255.4847573534489
146.54053910038402,248.97683898726822
161.8181707226134,314.7576042090801
116.51740443424109,227.93980952346936
139.36702136447644,237.93482706031102
166.53396321702692,322.8929969902827
144.18819469675398,253.66781763351452
187.9228796832145,325.79959009269646
170.2539067936258,259.9010308400778
179.4875901411761,290.9327392772869
173.50847787352188,297.67280798408467
39.20168656970339,53.84106537801239
53.74818653420434,81.61873650210845
69.2911159041862,91.38071822474302
56.803799187585184,79.52547693542203
17.016355909788643,29.31891603745953
23.32707547783437,41.636687060834845
134.11905563884974,233.5185535736821
117.31387816516482,191.56241889359552
124.28985148297483,200.62893924133218
127.87613405335634,206.67177562605215
138.43740757780506,239.33007300469313
134.98280640185612,224.1047713186324
118.04547123616635,193.18986726527658
61.05533550773098,64.41705776323715
75.6013740589588,89.6363352525043
59.460453086996196,75.34208300295495
72.54573163697968,98.47065317294206
57.20229652828188,69.18236410435907
43.851199280076216,53.84106537801239
41.393518691479585,36.63928246577757
63.77785243080699,115.43768141047161
64.42700136890899,50.403552728389684
54.080329669364644,55.932658170882405
35.615418883621004,61.39603022099038
33.48988143018467,28.968112235786577
32.094493270733935,53.84106537801239
53.61553766032809,79.99139230379092
57.26862096522,131.35849655811205
56.47116487055348,109.27879589878395
69.28626362266873,126.91748189764579
54.346148367586814,103.81714270917414
58.796166816675594,114.16103684046354
161.21970282306037,271.40723927490575
142.35581839904776,244.09537934581508
154.5782987811694,255.4847573534489
172.37941447846384,279.5416944958366
167.86253575766813,273.2658743835913
