Fitted_value,Residual_of_Young's_modulus
153.12709323120868,1.483695235640421
197.6325586426613,1.4597793092651146
173.5864376274265,1.3189636967655072
173.45375832831823,0.500780187450359
163.62304685864754,2.47189159851591
162.95878706948395,2.2699842950535745
145.95547496163832,1.5075683019326176
162.82709013898022,2.3072011338873097
176.775221002237,0.8408106568024976
212.64297230803373,0.7345438429630362
196.0367008445356,0.787676059324903
174.3833767156984,1.8290284497195417
153.39435702914318,-0.3439896695294129
149.80659804152168,-0.22180509704609275
161.09953541035082,-0.24835096574333448
184.8773953746737,-0.487435224350957
114.33783723290877,-1.283189814063138
156.30221275179196,0.412614615377632
151.80044908385383,-0.08896741279424081
178.23646453279088,0.93377655818353
140.1105008394228,0.9948890839088809
151.40150323978838,-0.46088935565371436
109.95312427264255,-1.0266841222292191
104.10913251903162,-1.6509769494603725
137.58505442266252,0.03854490613120909
129.6164821804475,0.20323358492301313
128.2869355803973,-1.0081352307055589
136.65542115090958,-0.7956158897210068
130.67779749833136,-0.4528923784801311
143.96262117228352,-1.0266841222292191
108.22656679699051,-1.5420730499517905
100.26775870333,-1.3615249498514705
135.06251045859756,-1.2206129021648664
109.55514591280891,-1.6456908725434891
324.8972057306473,-0.11022839513246385
339.11359764481597,-0.5538754965184367
296.33568696199274,-0.309483730952377
189.92446292438555,0.5937460888313915
185.14370657274924,-0.575078141521316
158.76329914058005,1.4258757929673447
145.4238498184646,0.8700317090205143
174.64872042954215,1.9352976446747312
154.32399030089616,0.030564596767724606
142.3677457427624,2.0999892998611958
148.7443450081516,0.5724851064931684
245.32484269171528,-0.07037685174533603
178.76907204456916,1.2605442129288926
194.04674950787611,1.5979018798759852
195.11001467859634,0.43968790120869894
201.48368172254465,0.8009412550474071
214.90213729546406,-1.1382572524692547
178.37009643175816,-0.09694534104199715
195.37534350806732,1.225977555900784
206.00104421317354,-0.6468616373831599
220.6144321185713,3.0563132381551767
191.12133022532745,1.725411817685707
205.33871939247348,0.8593988367356746
186.33960638945936,1.7705708680312742
216.6286947711161,-0.8620133018053773
194.70907432857618,1.9060587340887523
210.12041345959597,3.4654353520382872
191.12133022532745,1.7280643806070621
195.90500391403188,2.766765993917142
194.17649658554348,0.3838793107681937
229.1165793567964,0.030564596767724606
207.3306056975965,-0.6840403783652427
238.94824342632606,-0.16599531604772366
210.91540269503153,-0.42101995389862346
236.0248037653593,-0.9018446057088143
227.52265652713425,-0.6840403783652427
196.43564668860103,-0.70795392362482
183.15182026762622,-0.622945711007854
207.59690201129925,-0.9815667414088978
230.84313683244844,-0.8194889560132035
210.51840670380244,-1.3933211787296722
227.65533582624252,-2.7906206065624444
176.775221002237,-1.5500533593152745
216.3614309731816,-1.2498518127508458
242.80034887481398,-1.7944451248813351
221.94302611876248,-0.7929216572744053
