Calcium(mg/g),Bending_strength(MPa)
269.17408652162186,186.90814610261376
270.50315039250086,230.95557239516722
262.4658661120677,203.75991538789626
267.7796805702533,184.81661722428368
253.23316409759295,219.79845990970304
268.3117794393702,214.68503510473678
263.2637837090807,180.39937907073718
271.69856812654245,215.38122175615652
254.49540490005322,195.97362553697346
274.4215616511646,229.32901869544136
283.0572841293575,213.98686917060314
264.2597294860194,216.0794918630646
253.96426606833762,145.6497374994903
269.3740571028014,144.95157156535666
267.64701679726835,155.64449016802473
270.70262979175413,173.89149750744315
254.3066496395227,84.73934334840465
253.69796360066567,165.87144395073165
280.400138751452,149.83211813311672
259.610216256611,199.4589340505976
249.48009509430935,162.85475666281624
268.9750908621445,141.00045449093295
249.1811067020918,86.7261265020598
248.18516836730348,66.85251337652835
249.04894155318348,138.5588530041791
262.7316773978134,134.37647237055268
225.00342059837644,105.66947675205958
232.57589793358648,118.80394475509428
249.44740916976374,120.42961298623757
243.07133193244775,120.89385895542088
253.69796360066567,73.36039493982236
244.73156405386285,69.52444086751512
238.62031573844013,107.41207892248443
244.9964004179065,72.31325021139634
259.610216256611,243.73923858035724
263.32963185579734,207.4789876073091
267.9786687875803,230.4913785123711
249.77955234200195,205.03832367552502
252.70202526587732,219.6823072662296
274.0235852165106,189.11593179719168
264.3260613725119,176.21522749994568
243.20302078373064,223.40137948564245
275.6174780092828,191.3244987875777
245.79481663899614,290.11122824760855
251.10715755140302,230.257510633808
246.78977260993202,224.91188471466927
219.822761095102,226.65448688509417
240.21422341551315,197.13509988532064
234.50241763837275,238.1616198925949
245.06224112247276,289.0658804995412
246.32497310685926,230.37444457308953
239.6835757657238,258.9644541659139
275.28582601897085,203.06185362653704
261.00415335250455,229.7933167510119
266.58474657598754,191.78947396618193
256.4887476732582,235.25577243665774
270.30367099324764,201.43529992681118
263.2359872773462,215.63045511894597
274.9526930407298,212.0112845901977
248.71630719901907,180.51553171421062
265.8541283450187,169.126218114574
241.27746855849603,185.39685957777883
253.36582787057787,212.35943000229477
297.338473056048,179.0050264851838
266.51840724734467,164.24489025100578
283.0572841293575,141.5815302266234
287.9062842001696,188.06962045096097
289.16804126285405,202.01653192166327
272.2960388447505,203.9921165020687
284.8506637635334,219.21733208762538
282.1930346458521,222.00614143150653
273.69142715997157,220.26265379249915
286.7094078046501,191.44044308550232
250.77549811894067,263.4967771919961
263.79492998294666,239.6720209488473
249.64640482924116,207.8271330194062
248.71630719901907,268.3781050555643
245.79481663899614,257.80128700998245
243.33569199886597,53.8350313991624
242.53970936095632,81.61259752431914
231.5794758590223,91.37363857345207
235.8963472921159,79.52013109101932
221.61663191120414,29.313906202238627
230.58303890015733,41.7476560381665
259.27758190244657,233.51238897042475
260.2076795326687,191.5573770247839
248.71630719901907,200.622960631918
255.49134323484157,206.6657628438334
245.66117050215874,239.32299006816768
252.30355020714669,224.09865995119355
262.59852244290227,193.18393072450974
271.29960932803596,64.52784582905605
276.4807525710862,89.74708487372624
259.87456143872845,75.45291345950938
275.0863391775672,98.4635855137935
268.17814818683354,69.17535790044832
264.3919169613789,53.95019440127891
257.61687348340604,36.75194646828993
263.59545058369343,115.4330700341657
261.4704189592056,50.3497228855382
