Predicted_bending_strength(MPa),Bending_strength(MPa)
157.1710179626104,186.91499418861622
191.45415427685913,230.96259135629214
174.48710252100992,203.65084372958387
174.25500430161517,184.82254258829062
166.2365473142697,219.80457268843094
165.77146540202207,214.57499326593813
150.6613817046897,180.40623135111323
165.77146540202207,215.3891078595803
176.8100640085696,195.97963671782568
200.40368660549507,229.33436216900782
190.29444447999566,213.9947217604698
174.95221047659456,216.08548054414194
157.40311618200514,145.65623432749416
154.26606602298452,144.84214577718515
164.26011846890776,155.53423619368502
182.85459231090564,173.89746851361025
117.31098750529982,84.68514540364936
160.07677724568347,165.8772678162442
156.00870383204636,149.72524469571712
177.97576377294436,199.46660463392746
144.96757902180929,162.85801211982314
155.65967102949608,140.8909294047089
112.19235192019012,86.72984655268118
105.21846713680596,66.74261708710526
142.40996706782832,138.56626242453012
134.39151008048285,134.38212750220623
132.88018919070555,105.55898108063462
141.4806366301172,118.69259491306735
135.32086656153095,120.43613095778448
148.80272082926749,120.78512464339235
110.0998739651308,73.2496871079548
100.45488036509485,69.53236591031867
139.85407397408972,107.41930845277301
111.72810339472666,72.32125530353875
232.24955722606614,322.42875660198496
232.24955722606614,326.84506132832905
229.5758701190508,289.42143619308973
186.2246001194422,203.53472952882402
183.08757600375858,172.15477887721983
162.16758842717442,191.21440992503983
150.08019859607066,165.1809732616819
175.18516812611048,218.64231081750765
158.2727292479622,155.12799926185752
147.1752987431188,190.1689393815378
153.24967270966337,161.91671490884087
215.79790310955957,243.78644578447728
178.32221828513107,207.48503438464067
189.13124487597344,230.49747044825784
189.82759162083164,205.04435737703454
193.78052744156656,219.68854963933703
201.68376870599886,189.12357301136828
178.09267231276291,176.10604733636228
190.06062740035856,223.4075376102935
196.5693781848211,191.3304590174669
204.70557709876928,290.0025996827178
187.04129312460367,230.26537226340375
196.1998492760473,224.96158236315716
183.78480822207496,226.54638429244727
202.61304705703594,197.02595366965446
189.5954934014369,238.16783105168932
199.0100815989835,288.95628273088903
187.04129312460367,230.3814994858302
190.29444447999566,258.8556131567942
189.2464605988866,203.06967372912254
208.88889227865656,229.7994830770421
197.38351894295602,191.7955669038346
213.30433172127556,235.2620331360489
199.47602294135234,201.44226490683184
212.02768734125655,215.6204638094402
208.07563699397983,212.01824112257182
190.64345123920896,180.523126851867
181.57536964052306,169.132163590825
197.61566924902476,185.4044808670793
209.72438857313617,212.32038285187892
199.24303924849943,179.01094675700975
208.19168610367717,164.2515518106069
176.8100640085696,141.58646870261043
202.4389733924899,188.02955769491203
214.8148452676057,202.02335677729377
205.4010904568433,203.99983741519173
220.27647160108037,219.10735359554258
219.60658488661994,221.98068849643653
215.51291087270627,220.26971963979838
217.14033295885494,191.3304590174669
200.75355279482955,227.0105546188223
195.75695628692853,233.05430072162355
187.2563850449337,208.3998715691629
196.5693781848211,211.67011988862382
200.17067686930517,213.41270535168172
198.19682631430678,222.36129878846413
207.95786902404006,258.62343684194076
217.2572154553365,243.5133814366098
200.2867259790025,220.38487023723243
219.8139679791963,244.55969838843856
198.19682631430678,218.64231081750765
211.2135205397846,225.732243655472
198.66021540964903,197.83837544664317
214.93089437730308,230.14932317097671
200.17067686930517,237.70355655198176
209.58615054030994,236.54119050772593
208.88889227865656,219.57247450357687
209.0058008184751,212.13429021499888
191.67263183099988,205.52996136657552
203.6593381212396,197.37417907693498
220.7441578470286,263.3888459380585
209.0058008184751,239.67908660822047
195.75695628692853,207.83413224358105
214.69793672778715,268.3862555565311
220.04609224192802,257.809400378298
217.02423176248357,255.716870647973
221.90303425710786,302.08912177416113
200.75355279482955,247.58146726650665
221.90303425710786,254.67140010447096
218.5347453088137,291.28091064606815
225.85682950796397,271.52329222703236
192.73340299057872,213.0645580744006
221.90303425710786,283.1447650296075
217.48931367473122,268.03640244093
195.17327301795694,210.39085834361424
206.79727375371843,241.53781231537135
207.2614701925079,273.49885483743753
201.79893234223803,255.94981524115383
210.74929805765817,255.48477246311893
215.2816199967587,248.97677790394326
225.85682950796397,314.7576212093929
185.18177281906026,227.93989793989795
209.0058008184751,237.93480832850912
228.2975068787894,322.89295297169315
213.30433172127556,253.62603373430144
231.66840016078413,325.7995972956603
229.80887985524072,259.90185197862365
232.24955722606614,290.93280243378666
230.96947512556238,297.67281704781703
71.3986938745625,53.84106237452693
96.03858149235465,81.61889451259526
120.90970789942034,91.38074311302654
101.03517800025567,79.52550535227698
31.535251740104172,29.31895939769953
43.27355668198362,41.6368309281695
204.03910206145662,233.517650683005
186.109436483203,191.562557202321
193.89657655126393,200.62889254818387
197.7317183587221,206.67176619932525
208.19168610367717,239.33093933093932
204.9385607916222,224.1047567031819
186.92438458478512,193.1908124329384
108.00820335351865,64.41710369859976
130.55642035969868,89.63646483331524
105.33537567662451,75.3422168382798
125.90716383744255,98.47078012432343
101.61719449565888,69.18240862138498
79.30279456911597,53.84106237452693
75.23555454226306,36.64020912052405
112.30926046000867,115.43780331181904
113.2812759270721,50.40369398637114
96.61885308417847,55.93270663152549
65.12287469627888,61.39615518552523
61.403834085192074,28.968285917104822
58.84705551799529,53.84106237452693
95.80562384283873,79.99143360363831
101.84929271505361,131.35861372081843
100.57092947479221,109.27890661158378
120.84400056015497,126.91753527383449
97.08398708310013,103.81724202590343
104.28997008587902,114.16115912178904
225.45912170855007,271.38842682641894
211.67776906524807,244.09624425372456
221.20929184595025,255.48477246311893
230.62124966645925,279.5417219777456
228.8786639440714,273.2667566525834
231.66840016078413,268.15330445251703
228.2975068787894,275.8243356717766
226.6709442227619,247.11727089679846
219.8139679791963,230.3814994858302
232.3656063357635,289.5383382046768
220.62638987708885,270.9429816565643
227.7206209207763,282.04304739737813
216.3278850176254,266.75968663173387
203.19506355243914,244.55969838843856
226.6709442227619,259.2037539232421
225.85682950796397,274.31215557691934
231.55235105108676,257.3442794702637
231.0872170521651,259.4358846622626
224.69362990394177,273.8471062880512
223.29919151064598,267.5721344520557
221.09402403636304,287.9100699523928
230.85425940264918,267.3399320938691
159.84296016604637,159.13725320221383
138.9239101495944,149.95730381557152
152.52176144035428,152.16421586500326
157.40311618200514,167.73854577004184
124.62794116705997,106.60611839745698
136.83221349464526,129.49910671367363
153.6849350010395,160.53256383965044
139.27205747868652,160.06826329660976
157.2794103312281,150.0469059032051
127.18550103436694,133.21894109295684
131.60182595044415,126.71108977211338
148.45452141350137,150.30378431953235
141.93295730723207,154.076616881735
121.60691407439973,123.92220037889328
131.60182595044415,142.28709947213883
158.7984400487591,193.1908124329384
148.45452141350137,169.83101039203402
133.344437716169,125.66654376693745
190.99079122485387,185.17153627389848
202.61304705703594,199.93175158529488
197.7317183587221,179.2430188985307
215.3968617630089,248.97677790394326
214.00239732637613,237.23840960061432
222.58659372349626,246.87745086367133
219.69791886949892,230.14932317097671
210.63150404438142,219.22424909629635
206.33213975479677,218.41095486764777
224.69362990394177,308.9469564272714
223.06709329125127,301.85617067014704
212.37583467034864,223.29156664786586
203.3128315223789,214.80716958079162
209.0058008184751,206.43882160614444
207.60878413481578,204.34806282247226
213.42209969121532,210.85590112164914
172.9757816312326,173.20109582904857
213.53814880091267,263.96905884602734
195.05717182158557,198.07216644815068
215.62981941252482,275.94038476420366
213.53814880091267,289.1892338349031
214.8148452676057,282.5644544591395
124.27974175129387,123.11061198856473
153.6849350010395,163.32134905953802
139.85407397408972,132.28873834188795
105.45142478632187,93.70621743653237
133.344437716169,154.48799737185564
145.43435375096232,142.16930547639208
132.18298301572617,118.2275260916993
87.90235653506944,88.82401701299341
97.71376705857176,104.72526887881219
90.2270108395345,103.46818323196274
78.2565295482493,98.47078012432343
105.33537567662451,101.72380077891887
102.40568256684321,97.93480832850909
89.64585377425249,93.12335461941763
98.59530797287744,114.27628367588997
79.30279456911597,79.75766864546392
87.43727462282179,98.70367263083799
53.7335504702757,41.98492611878436
72.79482508476363,88.706301147246
49.43421222402806,58.60558599731826
50.362709274954994,67.20685252181312
43.39049126513919,44.193544006536115
30.721918325416425,36.99010130112492
74.07152155145666,76.38927602510279
44.087697440118575,59.88307659567499
149.15086815835957,162.1590611452816
126.14012148695846,139.38134062149808
137.99369423842512,144.26183520671708
143.57316667185054,144.14660647928363
130.67246946939602,132.52094070007456
151.9389115581669,153.90767377972102
91.25447257108306,80.43262068852619
104.87110110782403,94.51870432185393
107.77607909078692,107.99968413157387
116.72555933274887,101.9576699104258
78.2565295482493,69.76364373017913
84.64753840610909,79.99143360363831
203.77538723093699,220.03669691661818
188.78304546020735,199.00158789922568
206.79727375371843,223.05939033301237
191.68713796971204,196.44391121753327
192.73340299057872,181.33639503718243
186.92438458478512,185.7527062743598
205.9822214787883,214.4589441735111
181.46184673451526,172.38780160040002
194.36340336709094,215.6204638094402
172.27943488637442,163.7864829892389
184.83104719960463,193.1908124329384
180.1809312472273,175.75779588574864
184.36593924401996,200.16300336182226
215.2816199967587,248.16348367529469
154.84467084123997,119.39069947928215
203.0790144427418,183.8922747288889
209.0058008184751,207.48503438464067
211.2135205397846,209.5784105232924
200.636644255011,207.25293619978657
208.65765348938302,204.69621009975342
206.79727375371843,222.59434755497747
204.00579263342632,210.5069074360413
208.30773521337454,230.96259135629214
210.51631436480523,225.38401824819147
211.79467760506662,244.09624425372456
222.37072050305608,273.2667566525834
214.5809761012946,262.8067969751041
217.48931367473122,250.0229906824395
207.37840477566345,222.36129878846413
208.88889227865656,230.03327407854965
209.93429786940203,221.43282791904838
196.33727996542635,199.11759792665305
214.2336882023237,245.02558757480017
204.1218417431237,194.9333978959963
182.28705591087763,180.19030607613283
192.73340299057872,203.41779496307055
222.13690342341897,253.16099095626655
222.37072050305608,252.69587004823225
216.9081826527862,226.31333552593395
219.34886002361162,254.090308234009
215.3968617630089,232.12411099222123
210.51631436480523,228.6371170327863
207.7282970083349,232.59000017858284
190.7595003489063,227.47570157018976
188.20102896480415,206.20672342129035
